sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
53,244,2.0,0.0672361532102507,14.652503,120.960968,2118.0,494.5,12.7,71,-6144.522339922555,15824.171868034073,30.0,-1.8000000000000114,4.0,2.0,-0.9000000000000057,290.33138255583907,0.0314430122365815,0
54,246,2.0,0.0677872692201708,14.653201,120.963715,2149.0,496.3,13.7,74,-5848.898464443062,15901.786034036984,31.0,1.8000000000000114,3.0,1.5,0.9000000000000057,305.54064996978695,0.0318947432635869,0
55,248,2.0,0.0683383852300909,14.653702,120.966293,2179.0,492.6,15.0,78,-5571.464661041648,15957.494769233926,30.0,-3.6999999999999886,4.0,2.0,-1.8499999999999943,282.87665339649175,0.0323129663745453,0
56,250,2.0,0.068889501240011,14.653993,120.968819,2202.0,494.5,15.0,81,-5299.629901703413,15989.852537582155,23.0,1.8999999999999773,3.0,1.5,0.9499999999999886,273.6620270921077,0.0327175659869468,0
57,253,3.0,0.0697161752548911,14.654205,120.971359,2233.0,496.3,14.6,85,-5026.289818387702,16013.425894591506,31.0,1.8000000000000114,4.0,1.3333333333333333,0.6000000000000038,274.26304642312215,0.0331230541851377,0
58,255,2.0,0.0702672912648112,14.654205,120.97477,2271.0,513.0,15.6,89,-4659.2211869079065,16013.425894591506,38.0,16.69999999999999,4.0,2.0,8.349999999999994,366.9483322876393,0.0336655742950432,0
59,257,2.0,0.0708184072747313,14.654039,120.977539,2309.0,514.9,16.6,92,-4361.241874573792,15994.967511272607,38.0,1.8999999999999773,3.0,1.5,0.9499999999999886,298.4547517221131,0.0341068290725118,0
60,259,2.0,0.0713695232846514,14.653621,120.980576,2347.0,514.9,17.6,96,-4034.4242858500415,15948.487967735116,38.0,0.0,4.0,2.0,0.0,330.0043515398357,0.034594728815646,0
61,261,2.0,0.0719206392945715,14.653061,120.9832,2385.0,514.9,17.6,100,-3752.0516397772153,15886.218722804277,38.0,0.0,4.0,2.0,0.0,289.0720070962529,0.0350221115375752,0
62,264,3.0,0.0727473133094516,14.652328,120.98571,2416.0,507.4,17.6,105,-3481.947595565019,15804.71272899336,31.0,-7.5,5.0,1.6666666666666667,-2.5,282.05560475808807,0.0354391207572079,0
63,266,2.0,0.0732984293193717,14.651367,120.988739,2461.0,516.7,17.6,107,-3155.992703043681,15697.854256888688,45.0,9.300000000000068,2.0,1.0,4.650000000000034,342.9308404655483,0.0359461318562896,0
64,268,2.0,0.0738495453292918,14.650131,120.991386,2499.0,518.6,17.6,112,-2871.1467780105036,15560.417137720193,38.0,1.8999999999999773,5.0,2.5,0.9499999999999886,316.19470008267814,0.0364136145189602,0
65,270,2.0,0.0744006613392119,14.648872,120.993828,2530.0,518.6,17.2,116,-2608.360362737606,15420.422531706115,31.0,0.0,4.0,2.0,0.0,297.6836146568347,0.0368537291975959,0
66,273,3.0,0.075227335354092,14.647149,120.996674,2576.0,518.6,17.2,120,-2302.0984854890935,15228.83340846374,46.0,0.0,4.0,1.3333333333333333,0.0,361.17834994576026,0.0373877185930142,0
67,275,2.0,0.0757784513640121,14.645148,120.999321,2621.0,520.4,17.6,126,-2017.2509389385716,15006.33205291658,45.0,1.7999999999999543,6.0,3.0,0.8999999999999773,361.38675083360465,0.0379220161017625,0
68,277,2.0,0.0763295673739322,14.643379,121.001442,2652.0,524.1,17.9,130,-1789.005827574788,14809.627955983397,31.0,3.7000000000000455,4.0,2.0,1.8500000000000227,301.2640872085468,0.0383674243822253,0
69,280,3.0,0.0771562413888123,14.641098,121.004044,2705.0,522.3,17.9,131,-1508.9972065107056,14555.99197797046,53.0,-1.8000000000000682,1.0,0.3333333333333333,-0.6000000000000227,377.74823657706594,0.0389259117680291,0
70,282,2.0,0.0777073573987324,14.639376,121.00592,2736.0,522.3,17.6,133,-1307.1139413667067,14364.514049808404,31.0,0.0,2.0,1.0,0.0,278.20634026080273,0.0393372299864653,0
71,284,2.0,0.0782584734086525,14.63756,121.007851,2774.0,522.3,17.6,133,-1099.3103842866117,14162.583784104443,38.0,0.0,0.0,0.0,0.0,289.7154173407708,0.0397655639676477,0
72,286,2.0,0.0788095894185726,14.635279,121.010262,2812.0,522.3,17.6,134,-839.8494993899327,13908.947806091865,38.0,0.0,1.0,0.5,0.0,362.7879933304141,0.0403019331637876,0
73,288,2.0,0.0793607054284927,14.633469,121.012131,2850.0,522.3,17.6,134,-638.714408797034,13707.684710869113,38.0,0.0,0.0,0.0,0.0,284.5005101990035,0.0407225570895023,0
74,290,2.0,0.0799118214384127,14.631648,121.014015,2888.0,526.0,17.6,134,-435.9633965336829,13505.198469763907,38.0,3.7000000000000455,0.0,0.0,1.8500000000000227,286.50773993436337,0.0411461486332734,0
75,292,2.0,0.0804629374483328,14.629395,121.016342,2926.0,524.1,17.6,134,-185.53560520456776,13254.6759539978,38.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,354.17807042869543,0.0416697883634152,0
76,294,2.0,0.0810140534582529,14.627884,121.017906,2957.0,524.1,17.2,134,-17.219140704491444,13086.660187764774,31.0,0.0,0.0,0.0,0.0,237.7910772744337,0.0420213540472629,0
77,297,3.0,0.081840727473133,14.625504,121.02037,3002.0,524.1,16.9,134,247.9569645301275,12822.015896808694,45.0,0.0,0.0,0.0,0.0,374.5896557727378,0.0425751715832422,0
78,299,2.0,0.0823918434830531,14.623718,121.022217,3033.0,524.1,17.2,134,446.7333023676469,12623.421483511844,31.0,0.0,0.0,0.0,0.0,280.9460315233258,0.0429905403381547,0
79,301,2.0,0.0829429594929732,14.621384,121.024582,3078.0,522.3,16.9,135,701.2598421775718,12363.892166246926,45.0,-1.8000000000000682,1.0,0.5,-0.9000000000000341,363.46197856239286,0.0435279059975837,0
80,303,2.0,0.0834940755028933,14.619553,121.026527,3109.0,524.1,16.6,134,910.5868874490644,12160.293974339234,31.0,1.8000000000000682,-1.0,-0.5,0.9000000000000341,291.9703488348366,0.0439595738150977,0
81,305,2.0,0.0840451915128134,14.617218,121.028893,3147.0,524.1,15.9,134,1165.225910110245,11900.653461993645,38.0,0.0,0.0,0.0,0.0,363.6200830349495,0.0444971732263884,0
82,318,13.0,0.087627445577294,14.605225,121.041443,3345.0,531.5,15.6,134,2515.953321673031,10567.090864753072,198.0,7.399999999999977,0.0,0.0,0.5692307692307674,1897.8623998951168,0.0473030955516312,0
83,331,13.0,0.0912096996417746,14.593277,121.053993,3551.0,531.5,15.3,134,3866.75373280628,9238.532046122991,206.0,0.0,0.0,0.0,0.0,1894.4021694932908,0.0501039020488058,0
84,344,13.0,0.0947919537062551,14.581185,121.066689,3749.0,533.4,14.3,134,5233.343048396162,7893.961135938921,198.0,1.8999999999999773,0.0,0.0,0.1461538461538444,1916.8840284496348,0.052937947178013,0
85,375,31.0,0.1033342518600165,14.5513,121.09803,4115.0,559.3,11.7,134,8607.188924136884,4570.896163159631,366.0,25.899999999999977,0.0,0.0,0.8354838709677412,4734.9286533469685,0.0599383714540787,0
86,408,33.0,0.1124276660236979,14.518665,121.132263,4503.0,583.4,14.6,134,12292.877650074184,942.0447197385704,388.0,24.100000000000023,0.0,0.0,0.730303030303031,5171.620579789343,0.0675844292732958,0
87,441,33.0,0.1215210801873794,14.484238,121.168404,4862.0,616.7,3.9,134,16184.578376323549,-2886.0683074612575,359.0,33.30000000000007,0.0,0.0,1.0090909090909113,5458.183571086657,0.0756541603234667,0
88,473,32.0,0.1303389363461008,14.446975,121.207481,4999.0,685.2,4.9,134,20393.110916243557,-7029.530582203618,137.0,68.5,0.0,0.0,2.140625,5905.137560444082,0.0843846970132687,0
89,505,32.0,0.1391567925048222,14.407242,121.249001,5296.0,709.3,13.3,134,24865.53041682703,-11447.64470512233,297.0,24.09999999999991,0.0,0.0,0.7531249999999972,6285.827723202657,0.0936780706225141,0
90,536,31.0,0.1476990906585836,14.368767,121.289207,5685.0,714.9,8.1,134,29197.168448303615,-15725.875417107638,389.0,5.600000000000023,0.0,0.0,0.1806451612903233,6087.394401452719,0.1026780675951809,0
91,568,32.0,0.156516946817305,14.326904,121.332962,5951.0,740.8,10.7,134,33912.008164471896,-20380.83506092412,266.0,25.899999999999977,0.0,0.0,0.8093749999999993,6624.692305618913,0.112472440485032,0
92,601,33.0,0.1656103609809865,14.284195,121.377571,6248.0,755.6,9.1,134,38719.78012478679,-25129.865742617894,297.0,14.800000000000068,0.0,0.0,0.4484848484848505,6756.896478026642,0.1224622725603696,0
93,633,32.0,0.1744282171397079,14.24057,121.42308,6576.0,763.0,11.1,134,43625.49743412488,-29980.751117805856,328.0,7.399999999999977,0.0,0.0,0.2312499999999993,6898.135252517556,0.1326609211603172,0
94,664,31.0,0.1829705152934692,14.199005,121.466454,6858.0,776.0,6.8,134,48301.95194634555,-34602.574627712755,282.0,13.0,0.0,0.0,0.4193548387096774,6574.098192739696,0.1423804924466054,0
95,697,33.0,0.1920639294571507,14.154282,121.5131,7140.0,789.0,8.5,134,53332.14726205357,-39575.552200996965,282.0,13.0,0.0,0.0,0.3939393939393939,7072.46531354751,0.1528368818660307,0
96,729,32.0,0.2008817856158721,14.109797,121.559479,7483.0,785.2,9.8,134,58334.53783707557,-44522.065345185634,343.0,-3.7999999999999545,0.0,0.0,-0.1187499999999985,7034.087678843151,0.1632365313120981,0
97,761,32.0,0.2096996417745935,14.064423,121.606766,7711.0,801.9,6.8,134,63435.87675053369,-49567.43091570198,228.0,16.699999999999932,0.0,0.0,0.5218749999999979,7173.928277825271,0.1738429301298169,0
98,792,31.0,0.2182419399283549,14.019882,121.653267,7940.0,814.9,8.8,133,68453.40217463722,-54520.17098438377,229.0,13.0,-1.0,-0.032258064516129,0.4193548387096774,7049.226070518153,0.1842649611516885,0
99,808,16.0,0.2226508680077156,14.000446,121.679031,8085.0,814.9,9.4,123,71232.96946351553,-56681.3585638027,145.0,0.0,-10.0,-0.625,0.0,3520.931674689959,0.1894705339014374,0
