scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,140,8,11,433,148,151,0.05405405405405406,0.024774774774774775
class,1,modified_altitude,135,13,7,437,148,142,0.08783783783783784,0.015765765765765764
class,2,modified_speed,144,4,7,437,148,151,0.02702702702702703,0.015765765765765764
class,3,modified_position,147,1,1,443,148,148,0.006756756756756757,0.0022522522522522522
macro_avg,,macro_avg,,,,,592,592,0.043918918918918914,0.01463963963963964
