scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,151,40,2,537,191,153,0.2094240837696335,0.0037105751391465678
class,1,modified_altitude,148,22,12,548,170,160,0.12941176470588237,0.02142857142857143
class,2,modified_speed,179,4,46,501,183,225,0.02185792349726776,0.08409506398537477
class,3,modified_position,169,17,23,521,186,192,0.0913978494623656,0.042279411764705885
macro_avg,,macro_avg,,,,,730,730,0.11302290535878731,0.03787840557944966
