scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,0,1,0,3,1,0,1.0,0.0
class,1,modified_altitude,1,0,0,3,1,1,0.0,0.0
class,2,modified_speed,1,0,0,3,1,1,0.0,0.0
class,3,modified_position,1,0,1,2,1,2,0.0,0.3333333333333333
macro_avg,,macro_avg,,,,,4,4,0.25,0.08333333333333333
