scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,140,8,2,401,148,142,0.05405405405405406,0.004962779156327543
class,1,modified_altitude,125,1,6,419,126,131,0.007936507936507936,0.01411764705882353
class,2,modified_speed,137,2,3,409,139,140,0.014388489208633094,0.007281553398058253
class,3,modified_position,137,1,1,412,138,138,0.007246376811594203,0.002421307506053269
macro_avg,,macro_avg,,,,,551,551,0.020906357002697322,0.007195821779815649
