bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
1082,0.54125,0.54125,13.0614095,121.3433915,-3.5999999999999996,36024.07333053372,-161296.08074173544,7391.5,724.15,-19.0,-1.8999999999999773,0.0,0.0,-0.062311827956988454,6321.531067768944
1083,0.54175,0.54175,13.072495,121.312286,-4.9,32477.111698152876,-159640.99756999937,7315.0,724.1,-31.0,0.0,0.0,0.0,0.0,6357.19288834405
1084,0.54225,0.54225,13.086319,121.2992895,-1.95,31178.93548685774,-157651.99557232228,7559.0,762.1,-4.0,0.0,0.0,0.0,0.0,6153.7396867444095
1085,0.54275,0.54275,13.092581,121.3165245,-0.3,31780.753925721805,-157605.62722386484,7540.0,741.75,0.0,-1.849999999999966,0.0,0.0,-0.05691287878787765,6664.639807565838
1086,0.54325,0.54325,13.065537,121.327995,-2.3,33493.1566510279,-159375.46371840144,7460.0,761.2,-7.0,0.0,0.0,0.0,0.0,6127.006703100104
1087,0.54375,0.54375,13.078849000000002,121.2988205,-0.5,31748.699014426686,-159052.1640226228,7387.5,720.45,-4.0,0.0,0.0,0.0,0.0,6136.58947266308
1088,0.54425,0.54425,13.069244,121.330688,-2.3,34402.747438931714,-160206.09096774613,7231.0,720.4,-7.0,0.0,0.0,0.0,0.0,6301.743459123206
1089,0.54475,0.54475,13.0625575,121.3149875,-0.65,32940.29766260771,-160237.6703705324,7403.0,733.4,0.0,0.0,0.0,0.0,0.0,6087.36345702381
1090,0.54525,0.54525,13.043379,121.349724,-0.3,36516.43357502351,-162369.16886352908,7109.0,718.6,0.0,0.0,0.0,0.0,0.0,6080.267269228322
1091,0.54575,0.54575,13.088767,121.31855,0.0,32755.837526291383,-158044.1250227657,7010.0,729.7,0.0,0.0,0.0,0.0,0.0,6219.2381662615835
1092,0.54625,0.54625,13.073364,121.320915,-0.7,33359.35957169183,-159601.63451159702,7376.0,733.4,0.0,0.0,0.0,0.0,0.0,6256.476731248512
1093,0.54675,0.54675,13.096495,121.300003,-0.3,31816.427787725515,-157183.47510175806,7346.0,696.4,-8.0,0.0,0.0,0.0,0.0,6042.907423313787
1094,0.54725,0.54725,13.06382,121.32416549999999,-0.3,33770.11206191701,-161484.72319535172,7525.0,725.05,0.0,0.0,0.0,0.0,0.0,6045.268439110476
1095,0.54775,0.54775,13.046515,121.350258,-0.3,36749.16588385833,-162137.0491335417,7227.5,743.55,0.0,0.0,0.0,0.0,0.0,6511.321765853843
1096,0.54825,0.54825,13.075034,121.313828,-0.3,31977.3949829116,-159563.1610138362,7490.0,738.9,-8.0,0.0,0.0,0.0,0.0,6287.853363242093
1097,0.54875,0.54875,13.08062,121.326233,-2.3,34321.03519090367,-158600.32281409393,7300.0,748.2,-8.0,0.0,0.0,0.0,0.0,6555.624853885207
1098,0.54925,0.54925,13.059532,121.343285,-4.6,35645.44585803512,-161287.68551317768,7094.0,735.2,-31.0,0.0,0.0,0.0,0.0,6416.499009607483
1099,0.54975,0.54975,13.042234,121.33317550000001,-4.4,34029.937893793714,-163165.5480281616,7563.0,730.5999999999999,-38.5,0.0,0.0,0.0,0.0,6310.340897063836
1100,0.55025,0.55025,13.033859,121.337982,-3.6,36181.697567289746,-163331.11750262964,7163.0,718.6,-15.0,-1.8000000000000682,0.0,0.0,-0.0575757575757568,6246.6593520402985
1101,0.55075,0.55075,13.043565,121.340256,-1.0,36532.006322062254,-164563.04779653702,7529.0,722.3,0.0,0.0,0.0,0.0,0.0,6186.974462978854
1102,0.55125,0.55125,13.0505195,121.347969,-3.9000000000000004,35612.71345783739,-163024.16348364486,7407.0,741.7,-12.0,0.0,0.0,0.0,0.0,6292.111151761332
1103,0.55175,0.55175,13.038979000000001,121.355728,-1.45,36321.97473492529,-163043.78941530618,7383.5,743.55,-46.0,-2.750000000000057,0.0,0.0,-0.0868447580645179,6440.484173435652
1104,0.55225,0.55225,13.0396035,121.36372,-4.4,38147.82384938611,-162911.63406244852,7010.0,732.45,-18.5,0.0,0.0,0.0,0.0,6330.685295626571
1105,0.55275,0.55275,13.044159,121.280754,-2.9000000000000004,28910.704812281372,-162325.91397731839,7010.0,717.6500000000001,-19.0,0.0,0.0,0.0,0.0,6321.1951968123285
1106,0.55325,0.55325,13.0388835,121.345058,-0.15,37241.29216442695,-163147.08964484307,7361.0,730.6,0.0,0.0,0.0,0.0,0.0,6254.419300521447
1107,0.55375,0.55375,13.023125,121.29948,-4.25,31348.582115843838,-164002.56899461965,7117.0,709.3,-22.5,0.0,0.0,0.0,0.0,6243.630583662538
1108,0.55425,0.55425,13.016693,121.305969,-4.2,31906.19672435923,-165329.62667966663,7254.0,738.9,-53.0,-1.7999999999999543,0.0,0.0,-0.0545454545454531,6466.689968780467
1109,0.55475,0.55475,13.021592,121.333008,-2.6,34014.36854407505,-165588.71121661062,7422.0,748.2,-8.0,0.0,0.0,0.0,0.0,6449.9171863008805
1110,0.55525,0.55525,13.033356,121.361465,-0.3,37210.123377828335,-163803.69659362198,7010.0,718.6,0.0,-3.699999999999932,0.0,0.0,-0.1187499999999985,6328.298216464106
1111,0.55575,0.55575,13.042075,121.3140145,-2.65,33187.47099729649,-162564.09383917847,7086.5,739.85,-7.5,-0.8999999999999772,0.0,0.0,-0.0272727272727283,6395.375554986904
1112,0.55625,0.55625,13.01413,121.321709,0.0,32906.56393596,-165211.42630937856,7521.0,729.7,-8.0,-1.900000000000091,0.0,0.0,-0.11212121212121,6505.731598176705
1113,0.55675,0.55675,13.0201905,121.32887299999999,-4.75,34338.5942705974,-165670.161612882,7124.5,726.9000000000001,-76.5,-1.8500000000000227,0.0,0.0,-0.05847537878787975,6251.036208282896
1114,0.55725,0.55725,13.001448,121.3701095,-4.9,38251.82938383007,-167583.82894370117,7300.0,726.0,-91.5,0.0,0.0,0.0,0.0,6363.466717980465
1115,0.55775,0.55775,13.029861,121.32149100000001,-4.75,33682.20709143454,-163720.2446859067,7220.0,724.0999999999999,-65.0,-1.7999999999999543,0.0,0.0,-0.0553977272727258,6335.01651582042
1116,0.55825,0.55825,13.014563,121.358498,-3.6,38298.87226961092,-167151.89165453368,7338.0,705.6,-15.0,0.0,0.0,0.0,0.0,6324.132609674559
1117,0.55875,0.55875,13.056976,121.336845,-4.6,34468.71518834792,-161584.24279216072,7010.0,733.4,-16.0,-3.699999999999932,0.0,0.0,-0.1156249999999978,6346.805208673505
1118,0.55925,0.55925,13.0034365,121.3790245,-5.050000000000001,40266.16586053402,-167174.63104844152,7029.5,711.15,-152.0,-3.7000000000000455,0.0,0.0,-0.1194791666666681,6308.862847935758
1119,0.55975,0.55975,13.020195000000001,121.3512725,-0.3,36805.5832824921,-165118.52281984332,7471.0,730.6,0.0,-1.8999999999999773,0.0,0.0,-0.0593749999999992,6451.452172595211
1120,0.56025,0.56025,13.034546,121.329697,-4.9,33651.469236230594,-162917.80538940144,7148.0,713.0,-92.0,-3.7000000000000455,0.0,0.0,-0.1156250000000014,6195.058537122368
1121,0.56075,0.56075,13.011443,121.363319,-4.6,38297.45566146854,-166644.73089358903,7010.0,731.5,-61.0,0.0,0.0,0.0,0.0,6277.584240053674
1122,0.56125,0.56125,13.034801000000002,121.3459585,-4.4,35420.019527509336,-163354.96884733962,7380.0,744.5,-91.0,-0.9000000000000057,0.0,0.0,-0.02812500000000015,6745.810828765869
1123,0.56175,0.56175,13.009003,121.36274,-4.6,38053.015788476005,-166440.9103115205,7094.0,733.4,-16.0,0.0,0.0,0.0,0.0,6097.023342271445
1124,0.56225,0.56225,13.0216845,121.34677500000001,-4.75,36240.09864831066,-165354.64557271946,7044.5,692.65,-76.5,0.0,0.0,0.0,0.0,6134.02042183063
1125,0.56275,0.56275,13.018222000000002,121.348522,-5.050000000000001,35856.556288670596,-165891.55101762686,7509.5,726.9,-26.5,0.0,0.0,0.0,0.0,6285.7338681341425
1126,0.56325,0.56325,13.018844999999999,121.3667835,-2.0,38286.69765298338,-165894.49768725302,7182.0,726.0,-8.0,0.0,0.0,0.0,0.0,6491.28399880838
1127,0.56375,0.56375,13.026038,121.3411295,-4.05,35085.89751475879,-165155.71757418144,7216.5,734.3,-23.0,-1.7999999999999543,0.0,0.0,-0.057157258064514604,6488.634567832683
1128,0.56425,0.56425,13.008768,121.3714405,-4.25,39020.88199181561,-165758.50610412753,7010.0,721.35,-15.0,-0.8999999999999772,0.0,0.0,-0.0287878787878784,6208.124582246728
1129,0.56475,0.56475,12.999939,121.369896,-4.9,39319.00088651107,-167711.31410318875,7010.0,733.4,-122.0,-1.8999999999999773,0.0,0.0,-0.0593749999999992,6410.259149981075
