bin_id,feature,mean,std,median,iqr,min,max,p05,p95
0,x_wrt0,22.14170367112201,51.62215955984654,34.04367206141258,85.31461618593691,-113.3520218991076,137.15098882747725,-68.64957184347445,97.73109328434239
0,y_wrt0,5.661070190169755,44.577916506529846,20.015114441955458,72.24900338165189,-108.52639830769616,105.07935082079665,-73.0357085742937,67.38421862158897
0,altitude_meters,0.14979338842975207,2.6942199341258593,0.0,0.0,0.0,53.0,0.0,0.0
0,speed_kmh,26.46528925619835,17.614622953624494,21.299999999999997,18.499999999999996,0.0,138.9,10.2,63.0
0,delta_altitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,delta_speed,10.17918388429752,12.163007729895867,8.3,12.325000000000003,0.0,137.95,0.0,36.36999999999996
0,delta_heading,-1.7944214876033058,6.518257698894396,0.0,2.0,-59.0,54.0,-14.0,3.0
0,turn_rate,-0.11085568744285415,0.4289494392952239,0.0,0.11277173913043476,-5.9,2.0,-0.6666666666666666,0.19562499999999972
0,acceleration,1.874478820650593,3.5220002231085306,0.25704365079365077,2.813493751899458,0.0,68.975,0.0,8.250999999999994
0,distance_per_timestep,32.91013331005209,11.649434887900894,30.799828013141564,6.133604669154234,0.0,136.61805740731413,25.935255411518032,46.005870895647945
0,route_progress,0.00013347623197506548,6.251482171587918e-05,0.000109769124218538,0.00010917942693805313,0.0,0.0003037941291917,5.326060962482817e-05,0.00023584106963447
1,x_wrt0,116.22338720157164,282.8846503613604,279.2241753418959,563.3372231430805,-427.8972136509456,472.27641686923766,-349.85400280986687,381.7513038189409
1,y_wrt0,80.14840296797006,223.49256755579293,175.63262922890183,409.5314804997953,-379.175223596434,399.63511835931394,-331.5614902403893,341.3911353329264
1,altitude_meters,2.764242424242424,11.956428540174635,0.0,0.0,0.0,76.0,0.0,25.79999999999984
1,speed_kmh,135.65563636363635,28.542713718583343,137.0,35.19999999999999,13.0,287.1,88.14,174.1
1,delta_altitude,2.5242424242424244,11.501003288417527,0.0,0.0,0.0,76.0,0.0,0.0
1,delta_speed,42.425636363636364,32.49768009440203,38.849999999999994,59.09999999999998,0.0,238.9,8.300000000000004,83.30000000000001
1,delta_heading,-0.00787878787878788,0.5110416592830811,0.0,0.0,-3.0,3.0,-1.0,0.0
1,turn_rate,-0.0019225589225589214,0.10629747030870518,0.0,0.0,-1.0,0.5,-0.1428571428571428,0.0
1,acceleration,9.203105507455508,2.3776779234691974,9.200000000000005,1.8928571428571423,0.0,30.957142857142856,7.175000000000001,11.553333333333326
1,distance_per_timestep,152.44522712540194,104.31057456988879,145.60361495023741,205.81651496976988,27.13852178022701,512.9149959353394,37.3149275266235,300.35854664730255
1,route_progress,0.000747344114408394,0.0001206222358101539,0.000732981077205,0.0001602346154731,0.0005007853791407,0.0009995048988355,0.00054479891530597,0.0009584623517875999
2,x_wrt0,233.4109474192422,451.73393607265973,480.45829775564806,949.5080930668817,-655.3573565402738,713.7419104505739,-522.4870475429191,623.8840662559114
2,y_wrt0,159.10894751471815,339.27155729293145,310.45666401200964,296.5016814425177,-583.3293909050162,585.3309023493532,-460.825771011994,505.04249466685883
2,altitude_meters,19.30876216968011,24.336228676225097,0.0,46.0,0.0,76.0,0.0,61.0
2,speed_kmh,180.54283727399167,23.094636675906973,178.75,24.099999999999994,13.0,288.9,148.2,214.8
2,delta_altitude,15.149513212795549,21.1146286973589,0.0,30.0,0.0,69.0,0.0,53.0
2,delta_speed,40.378303198887345,30.298774682421286,26.89999999999999,52.80000000000001,0.0,248.2,7.400000000000006,83.30000000000001
2,delta_heading,-0.23226703755215578,0.6583631732314531,0.0,0.5,-7.0,2.0,-1.0,0.5
2,turn_rate,-0.04010706107368138,0.1798816950972161,0.0,0.125,-1.0,1.0,-0.2535714285714286,0.20500000000000115
2,acceleration,8.551458229222485,2.0438864035630533,8.337499999999999,2.1071428571428523,0.0,31.025,6.161,11.172142857142855
2,distance_per_timestep,209.2534560161826,132.08196912655006,163.11332936035194,248.54786376251755,31.01442552948135,598.395100425753,49.55457944284269,408.20693657017836
2,route_progress,0.0012194554655751266,0.00011190662136122056,0.0012137537931925,0.0001369202049404752,0.0010018133997848,0.0014963920029016,0.0010247954629506,0.00142792924890089
3,x_wrt0,336.92992649863544,648.4567360201501,699.7673059013308,1395.0555680336388,-879.5888486819606,1016.8359600019755,-742.6541070098333,844.5253385002559
3,y_wrt0,202.62334645216342,511.8616637960951,440.0823287942463,949.7588784293721,-731.6636279363379,775.0297092277129,-694.6078674487642,719.0429863302384
3,altitude_meters,30.67663043478261,21.891928063669155,30.0,38.0,0.0,84.0,0.0,61.0
3,speed_kmh,219.45339673913045,22.19833209117611,218.5,23.150000000000006,12.05,275.9,188.9,253.7
3,delta_altitude,11.904891304347826,18.873418026827657,0.0,23.0,-16.0,84.0,-4.0,47.75
3,delta_speed,38.72798913043478,25.584362874732737,23.150000000000006,47.25,-3.700000000000001,162.89999999999998,12.949999999999989,77.80000000000001
3,delta_heading,-0.125,1.2031704150364766,0.0,0.5,-2.0,27.0,-1.0,1.0
3,turn_rate,-0.020605119518162993,0.20274889848302993,0.0,0.1111111111111111,-1.0,2.7727272727272725,-0.25,0.25
3,acceleration,8.050771427971716,1.6167387987812514,8.02222222222222,1.8531250000000004,-3.6999999999999997,13.900000000000006,5.826388888888887,10.33184523809524
3,distance_per_timestep,272.3648941654001,160.01987422085915,166.21916219945672,293.31955966417377,33.25236839401567,933.3891638895644,106.95836002368937,513.0565499053741
3,route_progress,0.0017586626621677386,0.00010996519505501575,0.001752004830424075,0.00014480432965135017,0.0015006037435804,0.0019986502232845,0.0015650742040565,0.001962787824982425
4,x_wrt0,452.02774957799727,830.8484029195356,968.5544648315163,1799.5619615440912,-1107.1589809271595,1236.1758910365131,-929.3808487441887,1077.7186840574284
4,y_wrt0,356.1796905196621,584.2648055995901,577.3248565725357,224.33607437106127,-950.606740916455,974.18009792616,-832.5481443553603,894.7590118690614
4,altitude_meters,28.190635451505017,22.30849142995292,30.0,46.0,0.0,107.0,0.0,61.0
4,speed_kmh,246.12107023411372,20.947705667256884,242.64999999999998,24.987499999999955,37.0,301.9,222.065,277.8
4,delta_altitude,0.21739130434782608,9.772473488039209,0.0,0.0,-19.0,84.0,-8.0,8.0
4,delta_speed,32.9858695652174,26.94487107439535,18.5,41.70000000000002,-122.25,212.99999999999997,11.099999999999994,77.79999999999998
4,delta_heading,-0.03511705685618729,0.566754168738335,0.0,0.0,-2.0,2.0,-1.0,1.0
