bin_id,feature,mean,std,median,iqr,min,max,p05,p95
0,x_wrt0,30.280954657739375,67.14577102040096,38.161203462586414,122.50859635677136,-183.2148583763048,192.26979044755336,-86.82034491439707,124.01745909224152
0,y_wrt0,16.95571992908606,48.22548386359509,26.325435245314722,58.36351773758066,-136.6031560669826,132.0441577772414,-72.14336805537485,79.95760231878268
0,altitude_meters,0.054245283018867926,1.4415594633746083,0.0,0.0,0.0,46.0,0.0,0.0
0,speed_kmh,32.97991352201257,24.395991020738236,24.05,27.750000000000004,0.0,222.2,11.1,75.9
0,delta_altitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,delta_speed,10.87244496855346,12.73116314808606,9.200000000000005,10.250000000000002,-6.45,145.4,0.0,34.25
0,delta_heading,-0.8612421383647799,6.039227864567924,0.0,1.0,-69.5,25.0,-12.0,7.5
0,turn_rate,-0.0915777862747893,0.6011859130366403,0.0,0.06261574074074072,-17.375,1.4095634095634095,-0.6666666666666666,0.30672972972973
0,acceleration,2.581952027383078,3.843402459400767,0.46160714285714277,4.7614510489510495,-0.7400000000000005,50.925,0.0,8.715416666666671
0,distance_per_timestep,34.361818290574234,13.157647253411746,31.280183404818146,6.647016227995081,0.0,148.1779119213163,26.481178920820657,53.591186232914175
0,route_progress,0.00013408374982116502,6.764683942454177e-05,0.00011516334214495001,0.00012647886650245057,0.0,0.0003253090387633,5.089388701725437e-05,0.0002323362943201025
1,x_wrt0,124.76328125125063,363.5673336966739,340.07845464535853,724.3837921706233,-586.3546952246089,558.5061181758505,-432.8500253686186,483.8489297552434
1,y_wrt0,173.96556817954706,214.66004619136675,237.84627661958453,176.24420217048242,-441.55566360759593,490.3703038300307,-332.584484978268,412.75613782676305
1,altitude_meters,2.9025389025389026,10.62559167607723,0.0,0.0,0.0,69.0,0.0,30.0
1,speed_kmh,151.49725634725635,28.07366857869138,151.9,29.649999999999977,14.8,292.6,101.9,196.3
1,delta_altitude,2.623669123669124,9.9914441251917,0.0,0.0,0.0,69.0,0.0,23.0
1,delta_speed,40.47874692874693,30.87118783769898,35.199999999999996,55.599999999999966,-1.8999999999999984,240.8,7.400000000000006,79.7
1,delta_heading,-0.03480753480753481,1.03594048493951,0.0,0.0,-3.0,31.0,-1.0,0.5
1,turn_rate,-0.002021398612307701,0.1985383599725637,0.0,0.0,-1.0,5.166666666666667,-0.1428571428571428,0.0833333333333333
1,acceleration,8.799183938956666,2.0977910284744894,8.644444444444444,2.0785714285714256,-0.2714285714285712,32.01428571428571,6.850000000000003,11.11666666666666
1,distance_per_timestep,173.91808141456391,117.47464090499066,163.35729506816978,228.8677986571464,28.34037327783263,501.03747863909257,40.102868598041965,352.0794229239826
1,route_progress,0.0007385002392959775,0.000103575468764972,0.0007288653195897,0.0001232202938682,0.0005013672991924,0.000999456910012,0.0005627318643126,0.0009322226314998
2,x_wrt0,297.94382936307187,586.5081651194819,640.967588993461,1216.3444059767385,-882.0724941094813,878.0190484316475,-693.9988467670012,755.6185194004934
