scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,151,40,10,563,191,161,0.2094240837696335,0.017452006980802792
class,1,modified_altitude,166,25,10,563,191,176,0.13089005235602094,0.017452006980802792
class,2,modified_speed,190,1,46,527,191,236,0.005235602094240838,0.08027923211169284
class,3,modified_position,169,22,22,551,191,191,0.11518324607329843,0.038394415357766144
macro_avg,,macro_avg,,,,,764,764,0.11518324607329843,0.038394415357766144
