,precision,recall,f1-score,support
authentic,0.9545454545454546,0.9706433479075578,0.9625270981728089,1601.0
modified_altitude,0.9565217391304348,0.9437869822485208,0.9501116902457185,676.0
modified_speed,0.9647058823529412,0.9704142011834319,0.967551622418879,676.0
modified_position,0.9850523168908819,0.9536903039073806,0.9691176470588235,691.0
accuracy,0.962403951701427,0.962403951701427,0.962403951701427,0.962403951701427
macro avg,0.9652063482299281,0.9596337088117227,0.9623270144740576,3644.0
weighted avg,0.9625818594461125,0.962403951701427,0.9624057567655274,3644.0
