scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,124,21,11,424,145,135,0.14482758620689656,0.02528735632183908
class,1,modified_altitude,132,13,19,416,145,151,0.0896551724137931,0.04367816091954023
class,2,modified_speed,142,3,12,423,145,154,0.020689655172413793,0.027586206896551724
class,3,modified_position,138,7,2,433,145,140,0.04827586206896552,0.004597701149425287
macro_avg,,macro_avg,,,,,580,580,0.07586206896551724,0.02528735632183908
