scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,142,3,30,366,145,172,0.020689655172413793,0.07575757575757576
class,1,modified_altitude,109,17,7,408,126,116,0.1349206349206349,0.016867469879518072
class,2,modified_speed,122,16,0,403,138,122,0.11594202898550725,0.0
class,3,modified_position,127,5,4,405,132,131,0.03787878787878788,0.009779951100244499
macro_avg,,macro_avg,,,,,541,541,0.07735777673933597,0.025601249184334585
