,precision,recall,f1-score,support
authentic,0.9712230215827338,0.9310344827586207,0.9507042253521126,145.0
modified_altitude,0.9076923076923077,0.9365079365079365,0.921875,126.0
modified_speed,1.0,0.9420289855072463,0.9701492537313433,138.0
modified_position,0.9154929577464789,0.9848484848484849,0.948905109489051,132.0
accuracy,0.9482439926062847,0.9482439926062847,0.9482439926062847,0.9482439926062847
macro avg,0.9486020717553801,0.9486049724055722,0.9479083971431267,541.0
weighted avg,0.950169388763886,0.9482439926062847,0.9485109688420266,541.0
