scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,118,24,9,417,142,127,0.16901408450704225,0.02112676056338028
class,1,modified_altitude,135,7,11,415,142,146,0.04929577464788732,0.025821596244131457
class,2,modified_speed,138,4,12,414,142,150,0.028169014084507043,0.028169014084507043
class,3,modified_position,142,0,3,423,142,145,0.0,0.007042253521126761
macro_avg,,macro_avg,,,,,568,568,0.06161971830985915,0.020539906103286387
