,precision,recall,f1-score,support
authentic,0.9329896907216495,0.9476439790575916,0.9402597402597402,191.0
modified_altitude,0.9751552795031055,0.9936708860759493,0.9843260188087775,158.0
modified_speed,0.9834254143646409,0.9468085106382979,0.964769647696477,188.0
modified_position,0.9798657718120806,0.9864864864864865,0.9831649831649831,148.0
accuracy,0.9664233576642336,0.9664233576642336,0.9664233576642336,0.9664233576642336
macro avg,0.9678590391003692,0.9686524655645813,0.9681300974824945,685.0
weighted avg,0.9666856601723592,0.9664233576642336,0.9664207775719013,685.0
