scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,118,11,16,367,129,134,0.08527131782945736,0.04177545691906005
class,1,modified_altitude,120,8,9,375,128,129,0.0625,0.0234375
class,2,modified_speed,121,7,6,378,128,127,0.0546875,0.015625
class,3,modified_position,118,9,4,381,127,122,0.07086614173228346,0.01038961038961039
macro_avg,,macro_avg,,,,,512,512,0.0683312398904352,0.02280689182716761
