scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,139,3,24,338,142,163,0.02112676056338028,0.06629834254143646
class,1,modified_altitude,109,19,4,372,128,113,0.1484375,0.010638297872340425
class,2,modified_speed,108,6,1,389,114,109,0.05263157894736842,0.002564102564102564
class,3,modified_position,119,1,0,384,120,119,0.008333333333333333,0.0
macro_avg,,macro_avg,,,,,504,504,0.05763229321102051,0.019875185744469864
