csv_path,status,rows,window_count,true_label,true_label_name,predicted_label,predicted_label_name,score,decision_scope,decision_reason,decision_window_count,attack_window_count,attack_window_fraction,correct_if_labeled,authentic_score_mean,authentic_score_max,modified_altitude_score_max,modified_speed_score_max,modified_position_score_max,all_authentic_score_max,all_modified_altitude_score_max,all_modified_speed_score_max,all_modified_position_score_max,error
poison/poismph/datapoismphpar/poisalt_mph_3e39f7cd.csv,ok,272,10,1,modified_altitude,1,modified_altitude,1.0,all_windows,qualified_attack_window,10,7,0.7,True,0.29380321502685547,0.9834725260734558,1.0,0.008164661005139351,0.009285060688853264,0.9834725260734558,1.0,0.008164661005139351,0.009285060688853264,
poison/poismph/datapoismphpar/poisalt_mph_3e3a3689.csv,ok,411,18,1,modified_altitude,1,modified_altitude,1.0,all_windows,qualified_attack_window,18,8,0.4444444444444444,True,0.5452067852020264,0.9988480806350708,1.0,0.012032934464514256,0.025837959721684456,0.9988480806350708,1.0,0.012032934464514256,0.025837959721684456,
poison/poismph/datapoismphpar/poisalt_mph_3e3a8fd0.csv,ok,246,8,1,modified_altitude,1,modified_altitude,1.0,all_windows,qualified_attack_window,8,8,1.0,True,2.3533701096312143e-05,0.0001878986950032413,1.0,3.615628520492464e-05,1.5625630567228654e-06,0.0001878986950032413,1.0,3.615628520492464e-05,1.5625630567228654e-06,
poison/poismph/datapoismphpar/poisalt_mph_3e3d86b8.csv,ok,253,8,1,modified_altitude,1,modified_altitude,0.9997488260269165,all_windows,qualified_attack_window,8,7,0.875,True,0.12236534804105759,0.9769917130470276,0.9997488260269165,0.0074743423610925674,0.009440037421882153,0.9769917130470276,0.9997488260269165,0.0074743423610925674,0.009440037421882153,
poison/poismph/datapoismphpar/poisalt_mph_3e44f206.csv,ok,186,4,1,modified_altitude,1,modified_altitude,0.7063670754432678,all_windows,qualified_attack_window,4,4,1.0,True,0.36152923107147217,0.4836396276950836,0.7063670754432678,0.05891896411776543,0.007603987120091915,0.4836396276950836,0.7063670754432678,0.05891896411776543,0.007603987120091915,
poison/poismph/datapoismphpar/poisalt_mph_3e47f111.csv,ok,218,6,1,modified_altitude,1,modified_altitude,0.9999769330024719,all_windows,qualified_attack_window,6,5,0.8333333333333334,True,0.15548479557037354,0.9323427081108093,0.9999769330024719,0.013800429180264473,0.012520934455096722,0.9323427081108093,0.9999769330024719,0.013800429180264473,0.012520934455096722,
poison/poismph/datapoismphpar/poisalt_mph_3e488bea.csv,ok,201,5,1,modified_altitude,0,authentic,0.9716777801513672,all_windows,no_qualified_attack_window,5,0,0.0,False,0.9496704936027527,0.9716777801513672,0.03260297700762749,0.02590644732117653,0.02658316120505333,0.9716777801513672,0.03260297700762749,0.02590644732117653,0.02658316120505333,
poison/poismph/datapoismphpar/poisalt_mph_3e4c8398.csv,ok,265,9,1,modified_altitude,1,modified_altitude,0.9998443722724915,all_windows,qualified_attack_window,9,8,0.8888888888888888,True,0.10572365671396255,0.9374733567237854,0.9998443722724915,0.019046170637011528,0.02270451746881008,0.9374733567237854,0.9998443722724915,0.019046170637011528,0.02270451746881008,
poison/poismph/datapoismphpar/poisalt_mph_3e503efe.csv,ok,238,7,1,modified_altitude,1,modified_altitude,0.9997643828392029,all_windows,qualified_attack_window,7,7,1.0,True,0.05512116476893425,0.2915116846561432,0.9997643828392029,0.1190110445022583,0.0011549299815669656,0.2915116846561432,0.9997643828392029,0.1190110445022583,0.0011549299815669656,
poison/poismph/datapoismphpar/poisalt_mph_3e543f08.csv,ok,192,5,1,modified_altitude,1,modified_altitude,0.814393162727356,all_windows,qualified_attack_window,5,5,1.0,True,0.23547856509685516,0.3693155348300934,0.814393162727356,0.05417855829000473,0.007094396278262138,0.3693155348300934,0.814393162727356,0.05417855829000473,0.007094396278262138,
poison/poismph/datapoismphpar/poisalt_mph_3e57a9b1.csv,ok,211,6,1,modified_altitude,1,modified_altitude,0.9999998807907104,all_windows,qualified_attack_window,6,6,1.0,True,0.0002703417558223009,0.0016207299195230007,0.9999998807907104,7.122715032892302e-05,9.504020454187412e-06,0.0016207299195230007,0.9999998807907104,7.122715032892302e-05,9.504020454187412e-06,
