scope,label,class_name,tp,fn,fp,tn,support,predicted_positive,fnr,fpr
class,0,authentic,148,0,58,361,148,206,0.0,0.13842482100238662
class,1,modified_altitude,98,34,1,434,132,99,0.25757575757575757,0.0022988505747126436
class,2,modified_speed,128,13,2,424,141,130,0.09219858156028368,0.004694835680751174
class,3,modified_position,132,14,0,421,146,132,0.0958904109589041,0.0
macro_avg,,macro_avg,,,,,567,567,0.11141618752373635,0.03635462681446261
